,Listing_id,Location,Address,Price,Title,Agent,Url,Bedrooms,Bathrooms,Parking Spaces,Erf Size,Floor Size,Gross Lettable Area,insert_date,price per m2 Erf,price per m2 Floor
2610,109103186,Montclair,unknown,729000.0,2 Bedroom Apartment,unknown,/for-sale/montclair/durban/kwazulu-natal/6040/109103186,2.0,1.0,2.0,,,,2020-11-14 14:14:23.379413,,
2611,108932996,Morningside,unknown,19500000.0,4 Bedroom House,Seeff Berea,/for-sale/morningside/durban/kwazulu-natal/6021/108932996,4.0,4.5,12.0,2356.0,,,2020-11-14 14:14:23.379413,8276.740237691001,
2612,108979307,Bulwer,unknown,3450000.0,3 Bedroom House,RE/MAX Address - Berea,/for-sale/bulwer/durban/kwazulu-natal/5969/108979307,3.0,2.0,3.0,840.0,,,2020-11-14 14:14:23.379413,4107.142857142857,
2613,109209783,Umbilo,unknown,620000.0,2.5 Bedroom Apartment,Maxprop Durban - Letting & Sales,/for-sale/umbilo/durban/kwazulu-natal/6029/109209783,2.5,1.0,2.0,,,,2020-11-14 14:14:23.379413,,
2614,109050019,Musgrave,unknown,1495000.0,2 Bedroom Apartment,Tyson Properties Morningside Office,/for-sale/musgrave/durban/kwazulu-natal/6166/109050019,2.0,1.0,,,,,2020-11-14 14:14:23.379413,,
2615,108436218,Bluff,83 Benjamin Road,1700000.0,3 Bedroom House,Jawitz Bluff,/for-sale/bluff/durban/kwazulu-natal/12970/108436218,3.0,3.0,6.0,1793.0,,,2020-11-14 14:14:23.379413,948.1316229782487,
2616,108924525,Congella,unknown,5850000.0,Commercial Property,Wakefields Estate Agents C and I,/for-sale/congella/durban/kwazulu-natal/6045/108924525,,,,,1173.0,,2020-11-14 14:14:23.379413,,4987.212276214834
2617,108619718,Musgrave,23 Arcadia Road,1980000.0,Commercial Property,Pam Golding Properties - North Durban,/for-sale/musgrave/durban/kwazulu-natal/6166/108619718,,,,,159.0,,2020-11-14 14:14:23.379413,,12452.830188679245
2618,109067490,Durban Central,unknown,495000.0,2 Bedroom Apartment,Pam Golding Properties - Durban,/for-sale/durban-central/durban/kwazulu-natal/5992/109067490,2.0,1.0,,,75.0,,2020-11-14 14:14:23.379413,,6600.0
2619,109175114,South Beach,unknown,385000.0,2 Bedroom Apartment,Property.CoZa - Berea,/for-sale/south-beach/durban/kwazulu-natal/6027/109175114,2.0,1.0,,62.0,,,2020-11-14 14:14:23.379413,6209.677419354839,
2620,109144452,Ntuzuma,unknown,560000.0,2 Bedroom House,Idwala Property Group,/for-sale/ntuzuma/durban/kwazulu-natal/7648/109144452,2.0,1.0,,315.0,,,2020-11-14 14:14:23.379413,1777.7777777777778,
2621,107345025,Morningside,unknown,2299000.0,2 Bedroom Apartment,RE/MAX Address - Berea,/for-sale/morningside/durban/kwazulu-natal/6021/107345025,2.0,2.0,,,115.0,,2020-11-14 14:14:23.379413,,19991.304347826088
2622,108948876,Morningside,unknown,785000.0,2 Bedroom Apartment,PropHunt,/for-sale/morningside/durban/kwazulu-natal/6021/108948876,2.0,1.0,1.0,,55.0,,2020-11-14 14:14:23.379413,,14272.727272727272
2623,108758592,Morningside,unknown,825000.0,1 Bedroom Apartment,"Leapfrog, Durban Central",/for-sale/morningside/durban/kwazulu-natal/6021/108758592,1.0,1.0,1.0,,62.0,,2020-11-14 14:14:23.379413,,13306.451612903225
2624,108906947,South Beach,unknown,825000.0,1.5 Bedroom Apartment,Sam Harwood Property,/for-sale/south-beach/durban/kwazulu-natal/6027/108906947,1.5,1.0,,,83.0,,2020-11-14 14:14:23.379413,,9939.759036144578
2625,107805079,North Beach,unknown,975000.0,0.5 Bedroom Apartment,unknown,/for-sale/north-beach/durban/kwazulu-natal/6022/107805079,0.5,1.0,1.0,,45.0,,2020-11-14 14:14:23.379413,,21666.666666666668
2626,109041095,Reservoir Hills,unknown,1899000.0,8 Bedroom House,Pam Golding Properties - Westville,/for-sale/reservoir-hills/durban/kwazulu-natal/6192/109041095,8.0,3.0,7.0,1942.0,,,2020-11-14 14:14:23.379413,977.8578784757982,
2627,109108725,Merebank East,unknown,1150000.0,3 Bedroom House,"RE/MAX, Toti - Amanzimtoti",/for-sale/merebank-east/durban/kwazulu-natal/17840/109108725,3.0,2.0,4.0,345.0,,,2020-11-14 14:14:23.379413,3333.3333333333335,
2628,109007885,Durban Central,60 Diakonia Avenue,330000.0,Apartment,Rawson Properties Durban City,/for-sale/durban-central/durban/kwazulu-natal/5992/109007885,,1.0,,,48.0,,2020-11-14 14:14:23.379413,,6875.0
2629,109059895,Montclair,unknown,680000.0,2 Bedroom Apartment,Elangeni Properties,/for-sale/montclair/durban/kwazulu-natal/6040/109059895,2.0,2.0,1.0,26275.0,,,2020-11-14 14:14:23.379413,25.88011417697431,
2630,109126129,Newlands East,Sawfish Road,1600000.0,6 Bedroom House,Liger Property Group,/for-sale/newlands-east/durban/kwazulu-natal/6132/109126129,6.0,3.0,3.0,,,,2020-11-14 14:14:23.379413,,
2631,108907018,Glenwood,unknown,1160000.0,2 Bedroom Apartment,Tyson Properties Morningside Office,/for-sale/glenwood/durban/kwazulu-natal/6034/108907018,2.0,1.5,1.0,,130.0,,2020-11-14 14:14:23.379413,,8923.076923076924
2632,107760298,North Beach,unknown,990000.0,1.5 Bedroom Apartment,RE/MAX Address - Berea,/for-sale/north-beach/durban/kwazulu-natal/6022/107760298,1.5,1.0,,,77.0,,2020-11-14 14:14:23.379413,,12857.142857142857
2633,108731892,Morningside,158 Innes Road,1295000.0,2 Bedroom Apartment,Prime Property Musgrave,/for-sale/morningside/durban/kwazulu-natal/6021/108731892,2.0,1.0,1.0,,100.0,,2020-11-14 14:14:23.379413,,12950.0
2634,108922510,Musgrave,unknown,740000.0,1 Bedroom Apartment,Pam Golding Properties - Durban,/for-sale/musgrave/durban/kwazulu-natal/6166/108922510,1.0,1.0,1.0,,68.0,,2020-11-14 14:14:23.379413,,10882.35294117647
2635,108837084,Morningside,26 Oxford Road,540000.0,1 Bedroom Apartment,Rawson Properties Berea,/for-sale/morningside/durban/kwazulu-natal/6021/108837084,1.0,1.0,1.0,,45.0,,2020-11-14 14:14:23.379413,,12000.0
2636,109075045,Woodhaven,unknown,1500000.0,2 Bedroom Townhouse,Soukop Property Group - Montclair,/for-sale/woodhaven/durban/kwazulu-natal/6041/109075045,2.0,2.0,1.0,,,,2020-11-14 14:14:23.379413,,
2637,109099379,South Beach,unknown,750000.0,3 Bedroom Apartment,unknown,/for-sale/south-beach/durban/kwazulu-natal/6027/109099379,3.0,2.0,1.0,,,,2020-11-14 14:14:23.379413,,
2638,109017291,Morningside,unknown,1995000.0,2 Bedroom Apartment,RE/MAX Address - Berea,/for-sale/morningside/durban/kwazulu-natal/6021/109017291,2.0,2.0,2.0,,115.0,,2020-11-14 14:14:23.379413,,17347.82608695652
2639,109058159,Essenwood,unknown,5400000.0,3 Bedroom House,Tyson Properties Morningside Office,/for-sale/essenwood/durban/kwazulu-natal/6165/109058159,3.0,2.0,2.0,1136.0,,,2020-11-14 14:14:23.379413,4753.521126760564,
2640,109139768,Durban Central,60 Diakonia Avenue,330000.0,Apartment,Rawson Properties Durban City,/for-sale/durban-central/durban/kwazulu-natal/5992/109139768,,1.0,,,48.0,,2020-11-14 14:14:23.379413,,6875.0
2641,108934044,Mobeni,unknown,72000000.0,Industrial Property,"Just Property, Amanzimtoti",/for-sale/mobeni/durban/kwazulu-natal/6157/108934044,,,,,19330.0,,2020-11-14 14:14:23.379413,,3724.7801345059493
2642,108759543,Glenwood,unknown,1400000.0,2 Bedroom Apartment,"Leapfrog, Durban Central",/for-sale/glenwood/durban/kwazulu-natal/6034/108759543,2.0,2.0,2.0,,106.0,,2020-11-14 14:14:23.379413,,13207.547169811322
