,Unnamed: 0,Unnamed: 0.1,Listing_id,Location,Address,Price,Title,Agent,Url,Bedrooms,Bathrooms,Parking Spaces,Floor Size,Erf Size,Gross Lettable Area,address2,lat,lon
4581,4581,4581,107226276,Montclair,unknown,880000.0,2 Bedroom Apartment,Golden Homes Montclair and Surrounds,/for-sale/montclair/durban/kwazulu-natal/6040/107226276,2.0,1.0,2.0,96.0,,,Montclair Durban,-29.9197222,30.9652778
4582,4582,4582,108728816,Westridge,unknown,,3 Bedroom House,unknown,/for-sale/westridge/durban/kwazulu-natal/6202/108728816,3.0,,2.0,,807.0,,Westridge Durban,-29.8558333,30.9877778
4583,4583,4583,107295097,Musgrave,unknown,2250000.0,2 Bedroom Apartment,Wakefields Estate Agents Berea,/for-sale/musgrave/durban/kwazulu-natal/6166/107295097,2.0,2.0,,128.0,,,Musgrave Durban,-29.8488889,30.9961111
4584,4584,4584,108190991,Hillary,unknown,550000.0,2 Bedroom Apartment,Prime Property Chatsworth,/for-sale/hillary/durban/kwazulu-natal/6251/108190991,2.0,1.0,1.0,51.0,,,Hillary Durban,-29.8833333,30.9402778
4585,4585,4585,107385412,Merewent,38 Nizam Road,950000.0,2 Bedroom House,Wakefields Estate Agents Bluff,/for-sale/merewent/durban/kwazulu-natal/6156/107385412,2.0,1.0,3.0,,346.0,,38 Nizam Road Durban,-29.9607265,30.9781869
4586,4586,4586,107076654,Reservoir Hills,unknown,2300000.0,3 Bedroom House,Wakefields Estate Agents Berea,/for-sale/reservoir-hills/durban/kwazulu-natal/6192/107076654,3.0,5.0,4.0,,1277.0,,Reservoir Hills Durban,-29.794942,30.9353627
4587,4587,4587,109223051,Windermere,unknown,1695000.0,Commercial Property,RE/MAX Panache - La Lucia,/for-sale/windermere/durban/kwazulu-natal/6033/109223051,,,,142.0,,,Windermere Durban,-29.83273115,31.017483106825047
4588,4588,4588,108713241,Windermere,unknown,1695000.0,Commercial Property,RE/MAX Panache - La Lucia,/for-sale/windermere/durban/kwazulu-natal/6033/108713241,,,,142.0,,,Windermere Durban,-29.83273115,31.017483106825047
4589,4589,4589,108279596,South Beach,unknown,250000.0,Apartment,Wakefields Beach,/for-sale/south-beach/durban/kwazulu-natal/6027/108279596,,1.0,,46.0,,,South Beach Durban,-29.862027400000002,31.037410200593246
4590,4590,4590,106871501,Morningside,unknown,2850000.0,3 Bedroom Apartment,Soukop Property Group - Morningside,/for-sale/morningside/durban/kwazulu-natal/6021/106871501,3.0,2.0,3.0,,,,Morningside Durban,-29.8183613,31.0180771
4591,4591,4591,107057784,North Beach,unknown,810000.0,1.5 Bedroom Apartment,Wakefields Beach,/for-sale/north-beach/durban/kwazulu-natal/6022/107057784,1.5,1.0,,76.0,,,North Beach Durban,-29.846709099999998,31.035285842256584
4592,4592,4592,108685839,Glenwood,unknown,2895000.0,3 Bedroom House,Soukop Property Group - Morningside,/for-sale/glenwood/durban/kwazulu-natal/6034/108685839,3.0,3.0,11.0,,,,Glenwood Durban,-29.8638889,30.9877778
4593,4593,4593,106768300,Durban Central,unknown,240000000.0,Commercial Property,"Just Property, Berea",/for-sale/durban-central/durban/kwazulu-natal/5992/106768300,,,,23105.0,,,Durban Central Durban,-29.8574209,31.02222775321959
4594,4594,4594,108511785,Overport,unknown,2900000.0,3 Bedroom House,Urban Link - Upper Highway,/for-sale/overport/durban/kwazulu-natal/6023/108511785,3.0,2.0,4.0,,,,Overport Durban,-29.837791950000003,30.990248958511735
4595,4595,4595,108561920,Bulwer,unknown,1695000.0,3 Bedroom Townhouse,RE/MAX Address - Berea,/for-sale/bulwer/durban/kwazulu-natal/5969/108561920,3.0,1.0,1.0,158.0,,,Bulwer Durban,-29.8583333,31.0033333
4596,4596,4596,107433870,Bellair,unknown,1350000.0,3 Bedroom House,"RE/MAX, Toti - Amanzimtoti",/for-sale/bellair/durban/kwazulu-natal/6248/107433870,3.0,2.0,2.0,,955.0,,Bellair Durban,-29.8922222,30.9516667
4597,4597,4597,108101838,Springfield,unknown,1940000.0,3 Bedroom House,Wakefields Estate Agents Berea,/for-sale/springfield/durban/kwazulu-natal/6196/108101838,3.0,3.0,13.0,,930.0,,Springfield Durban,-29.8205556,30.995
