,Listing_id,Location,Address,Price,Title,Agent,Url,Bedrooms,Bathrooms,Parking Spaces,Floor Size,Erf Size,Gross Lettable Area
3859,108940347,Bulwer,unknown,950000,2.5 Bedroom Apartment,RE/MAX Address - Berea,/for-sale/bulwer/durban/kwazulu-natal/5969/108940347,2.5,1,1,117 m²,,
3860,108920679,Bellair,1 Glendale,720000,2 Bedroom Apartment,Maxprop Durban - Letting & Sales,/for-sale/bellair/durban/kwazulu-natal/6248/108920679,2,1,,,,
3861,108814696,Durban Central,unknown,590000,2.5 Bedroom House,RE/MAX Advance - Bluff,/for-sale/durban-central/durban/kwazulu-natal/5992/108814696,2.5,1,,,,
3862,108891023,Point Waterfront,unknown,2250000,2 Bedroom Apartment,Property.CoZa - Berea,/for-sale/point-waterfront/durban/kwazulu-natal/6024/108891023,2,2,2,,,
3863,109186449,Newlands East,unknown,395000,2 Bedroom Apartment,Property.CoZa - Berea,/for-sale/newlands-east/durban/kwazulu-natal/6132/109186449,2,1,,,,
3864,108519563,Bulwer,unknown,865000,2 Bedroom Apartment,Prime Property Musgrave,/for-sale/bulwer/durban/kwazulu-natal/5969/108519563,2,1.5,1,71 m²,,
3865,108446832,Musgrave,unknown,1250000,2 Bedroom Apartment,Property.CoZa - Berea,/for-sale/musgrave/durban/kwazulu-natal/6166/108446832,2,1,1,117 m²,,
3866,108242433,Morningside,unknown,1650000,Commercial Property,Sam Harwood Property,/for-sale/morningside/durban/kwazulu-natal/6021/108242433,,,,138 m²,,
3867,106827835,North Beach,unknown,1400000,2.5 Bedroom Apartment,Wakefields Beach,/for-sale/north-beach/durban/kwazulu-natal/6022/106827835,2.5,2.5,1,,,
3868,108367523,Essenwood,unknown,1690000,2 Bedroom Apartment,Tyson Properties Morningside Office,/for-sale/essenwood/durban/kwazulu-natal/6165/108367523,2,1.5,2,195 m²,,
3869,108226602,Reservoir Hills,unknown,1250000,3 Bedroom House,Seeff Pinetown,/for-sale/reservoir-hills/durban/kwazulu-natal/6192/108226602,3,3,1,,3 551 m²,
3870,108241513,Morningside,unknown,3990000,5 Bedroom House,Soukop Property Group - Westville,/for-sale/morningside/durban/kwazulu-natal/6021/108241513,5,3,2,,1 055 m²,
